BayID,DeviceID,Description1,Description2,Description3,Description4,Description5,Description6,DisabilityExt1,DisabilityExt2,DisabilityExt3,DisabilityExt4,DisabilityExt5,DisabilityExt6,Duration1,Duration2,Duration3,Duration4,Duration5,Duration6,EffectiveOnPH1,EffectiveOnPH2,EffectiveOnPH3,EffectiveOnPH4,EffectiveOnPH5,EffectiveOnPH6,EndTime1,EndTime2,EndTime3,EndTime4,EndTime5,EndTime6,Exemption1,Exemption2,Exemption3,Exemption4,Exemption5,Exemption6,FromDay1,FromDay2,FromDay3,FromDay4,FromDay5,FromDay6,StartTime1,StartTime2,StartTime3,StartTime4,StartTime5,StartTime6,ToDay1,ToDay2,ToDay3,ToDay4,ToDay5,ToDay6,TypeDesc1,TypeDesc2,TypeDesc3,TypeDesc4,TypeDesc5,TypeDesc6
3096,20692,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3098,20694,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3100,20695,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3102,20697,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3103,20698,A RPE  M-SUN 7:30-23:00   ,,,,,,60,,,,,,30,,,,,,0,,,,,,23:00:00,,,,,,A RPE,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1/2P,,,,,
3104,20699,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3105,20700,A RPE  M-SUN 7:30-23:00   ,,,,,,60,,,,,,30,,,,,,0,,,,,,23:00:00,,,,,,A RPE,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1/2P,,,,,
3106,20701,A RPE  M-SUN 7:30-23:00   ,,,,,,60,,,,,,30,,,,,,0,,,,,,23:00:00,,,,,,A RPE,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1/2P,,,,,
3108,20703,A RPE  M-SUN 7:30-23:00   ,,,,,,60,,,,,,30,,,,,,0,,,,,,23:00:00,,,,,,A RPE,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1/2P,,,,,
3109,20704,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3110,20705,A RPE  M-SUN 7:30-23:00   ,,,,,,60,,,,,,30,,,,,,0,,,,,,23:00:00,,,,,,A RPE,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1/2P,,,,,
3111,20706,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3112,20707,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3113,20708,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3114,20709,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3115,20710,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3116,20711,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3117,20712,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3118,20713,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3120,20715,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3122,20717,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3124,20719,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3125,20720,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3133,19417,Mins AOT      ,,,,,,20,,,,,,10,,,,,,1,,,,,,23:59:59,,,,,,,,,,,,1,,,,,,0:00:00,,,,,,0,,,,,,P 10 Mins,,,,,
3168,7059,1/2P M-SAT  7:30-19:30    ,LZ 30M SUN 7:30-18:30,,,,,0,0,,,,,30,30,,,,,0,0,,,,,19:30:00,18:30:00,,,,,,,,,,,1,0,,,,,7:30:00,7:30:00,,,,,6,0,,,,,Loading Zone 30M,Loading Zone 30M,,,,
3169,9690,1/2P M-SAT  7:30-19:30    ,LZ 30M SUN 7:30-18:30,,,,,0,0,,,,,30,30,,,,,0,0,,,,,19:30:00,18:30:00,,,,,,,,,,,1,0,,,,,7:30:00,7:30:00,,,,,6,0,,,,,Loading Zone 30M,Loading Zone 30M,,,,
3170,5146,MTR M-F  7:30-19:30    ,2P SAT 7:30-19:30,2P SUN 7:30-18:30,,,,60,240,240,,,,30,120,120,,,,0,0,0,,,,19:30:00,19:30:00,18:30:00,,,,,,,,,,1,6,0,,,,7:30:00,7:30:00,7:30:00,,,,5,6,0,,,,1/2P Meter,2P,2P,,,
3171,20584,M-F 7:30-18:30      ,1/4P SAT 7:30-12:30,,,,,30,30,,,,,15,15,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1/4P,1/4P,,,,
3172,2360,MTR M-F  7:30-19:30    ,2P SAT 7:30-19:30,2P SUN 7:30-18:30,,,,60,240,240,,,,30,120,120,,,,0,0,0,,,,19:30:00,19:30:00,18:30:00,,,,,,,,,,1,6,0,,,,7:30:00,7:30:00,7:30:00,,,,5,6,0,,,,1/2P Meter,2P,2P,,,
3175,20587,A RPE  M-F 7:30-18:30   ,1P A RPE SAT 7:30-12:30,,,,,120,120,,,,,60,60,,,,,0,0,,,,,18:30:00,12:30:00,,,,,A RPE,A RPE,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,1P,,,,
3177,20589,M-F 7:30-18:30      ,1/4P SAT 7:30-12:30,,,,,30,30,,,,,15,15,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1/4P,1/4P,,,,
